name,addition,image,num_of_people,link,time_to_prepare,time_to_cook,guide
Chả cốm đổi vị ngon cơm,Một số cách bảo quản cốm để làm chả được ngon hơn:,http://gl.amthuc365.vn/thumbnails/415/305///uploads/i/Tin_Tuc/2015/3/cach-lam-cha-com-final-1.jpg,4 người,http://www.amthuc365.vn/cong-thuc/3399-cha-com-doi-vi-ngon-com.html,Chuẩn bị: 15 phút,Thực hiện: 40 phút,"Cách làm chả cốm không giống như cách làm chả quế hay chả lụa. Để làm chả cốm bạn phải mua cốm trước rồi bảo quản vì cốm ngon nhất thường bào mùa thu. Khi chọn mua cốm, bạn nên đi vào buổi sáng, mua loại cốm già, sẽ ngon và tốt cho sức khỏe hơn. Tránh mua phải loại cốm có hòa lẫn phẩm màu hoặc đường hóa học để làm cốm thêm đẹp và tăng vị ngọt hoặc làm cốm dẻo hơn."
Mực xào tỏi,,http://gl.amthuc365.vn/thumbnails/415/305///uploads/i/Cong_Thuc/2015/3/mực.jpg,2 người,http://www.amthuc365.vn/cong-thuc/3479-muc-xao-toi.html,Chuẩn bị: 15 phút,Thực hiện: 30 phút,"Mực làm sạch. Tỏi lột vỏ, bằm nhỏ."
Kết hợp nóng - lạnh trong ly soda chanh đã khát,,http://gl.amthuc365.vn/thumbnails/415/305///uploads/i/Cong_Thuc/2015/3/Kết-hợp-nóng---lạnh-trong-ly-soda-chanh-đã-khát.png,2 người,http://www.amthuc365.vn/cong-thuc/3394-ket-hop-nong-lanh-trong-ly-soda-chanh-da-khat.html,Chuẩn bị: 10 phút,Thực hiện: 20 phút,"Đầu tiên, bạn gọt vỏ gừng rồi cắt thành từng lát."
Cơm gà xứ Nẫu,,http://gl.amthuc365.vn/thumbnails/415/305///uploads/i/Nha_Hang/2015/3/cơm-gà-xứ-Nẫu.jpg,2 người,http://www.amthuc365.vn/cong-thuc/3396-com-ga-xu-nau.html,Chuẩn bị: 15 phút,Thực hiện: 30 phút,"Gà làm sạch, cho vào luộc chín sau đó vớt ra để nguội."
Nấm nhồi thịt chiên xù ngon mà bổ,,http://gl.amthuc365.vn/thumbnails/415/305///uploads/i/Cong_Thuc/2015/3/nam-nhoi-thit-chien-xu-1.jpg,2 người,http://www.amthuc365.vn/cong-thuc/3402-nam-nhoi-thit-chien-xu-ngon-ma-bo.html,Chuẩn bị: 15 phút,Thực hiện: 30 phút,"Ướp thịt với bột bắp và 10gr hạt nêm. Sau đó, trộn đều rồi để khoảng 15 phút cho thịt ngấm nhé!"
Thịt vịt nấu sốt vang ngon lạ cho ngày mưa,,http://gl.amthuc365.vn/thumbnails/415/305///uploads/i/Nha_Hang/2015/3/thịt-vịt-nấu-sốt-vang.jpg,4 người,http://www.amthuc365.vn/cong-thuc/3397-thit-vit-nau-sot-vang-ngon-la-cho-ngay-mua.html,Chuẩn bị: 20 phút,Thực hiện: 40 phút,"Vịt làm sạch, chặt thành từng miếng bằng bao diêm. Ướp thịt với rượu 15 phút, sau đó rắc muối, tỏi (đã giã nát) và ít xì dầu ướp tiếp 15 phút rồi cho húng lìu vào trộn đều."
Cá ba sa kho gừng dễ làm,,http://gl.amthuc365.vn/thumbnails/415/305///uploads/i/Cong_Thuc/2015/3/cong-thuc-nau-mon-an-ngon-tu-ca-ba-sa.jpg,4 người,http://www.amthuc365.vn/cong-thuc/3395-ca-ba-sa-kho-gung-de-lam.html,Chuẩn bị: 20 phút,Thực hiện: 40 phút,"Rữa sạch cá trong nước muối , cho cá vào rá cho ráo nước, sau đó ướp với ít muối khoảng 5 phút."
Cách làm tương ớt ngon - lành,,http://gl.amthuc365.vn/thumbnails/415/305///uploads/i/Cong_Thuc/2015/3/tuong-ot-2(1).jpg,Nhiều người,http://www.amthuc365.vn/cong-thuc/3401-cach-lam-tuong-ot-ngon-lanh.html,Chuẩn bị: 15 phút,Thực hiện: 30 phút,"Ớt ngâm nước muối loãng, rửa sạch, để ráo sau đó cắt bỏ hết cuống."
Sữa chua dẻo tự làm tại nhà,Nếu không có whipping vạn có thể dùng 350 ml sữa tươi.,http://gl.amthuc365.vn/thumbnails/415/305///uploads/i/Cong_Thuc/2015/3/sữa-chua-dẻo.jpg,4 người,http://www.amthuc365.vn/cong-thuc/3404-sua-chua-deo-tu-lam-tai-nha.html,Chuẩn bị: 20 phút,Thực hiện: 30 phút,Lá gelatin ngâm vào nước lạnh.
Ớt nhồi thịt cho tín đồ ăn cay,,http://gl.amthuc365.vn/thumbnails/415/305///uploads/i/Cong_Thuc/2015/3/ớt-nhồi-thịt.jpg,2 người,http://www.amthuc365.vn/cong-thuc/3400-ot-nhoi-thit-cho-tin-do-an-cay.html,Chuẩn bị: 15 phút,Thực hiện: 30 phút,"Băm nhỏ gừng và hành lá. Đặt thịt lợn xay trong bát trộn, cho gừng, muối, nước tương vào ướp trước khoảng 30 phút."
"Pizza đậu phụ thơm ngon, lạ miệng",,http://gl.amthuc365.vn/thumbnails/415/305///uploads/i/Cong_Thuc/2015/3/Pizza-đậu-phụ.jpg,2 người,http://www.amthuc365.vn/cong-thuc/3403-pizza-dau-phu-thom-ngon-la-mieng.html,Chuẩn bị: 15 phút,Thực hiện: 30 phút,Cắt đôi miếng đậu phụ và bọc miếng đậu lại bằng khăn giấy. Đặt một vật nặng vừa phải lên trên miếng đậu trong 15 phút để đậu ra bớt nước. Thịt xông khói thái sợi nhỏ. Nấm và cà chua thái lát mỏng.
