mytype,material,link,value
g,ức gà,http://www.amthuc365.vn/cong-thuc/3478-nom-ga-ran-gian-di-ma-ngon.html,500
quả,dưa chuột,http://www.amthuc365.vn/cong-thuc/3478-nom-ga-ran-gian-di-ma-ngon.html,1
củ,cà rốt,http://www.amthuc365.vn/cong-thuc/3478-nom-ga-ran-gian-di-ma-ngon.html,1
g,giá đỗ,http://www.amthuc365.vn/cong-thuc/3478-nom-ga-ran-gian-di-ma-ngon.html,100
lát,gừng,http://www.amthuc365.vn/cong-thuc/3478-nom-ga-ran-gian-di-ma-ngon.html,Vài
thìa canh,xì dầu,http://www.amthuc365.vn/cong-thuc/3478-nom-ga-ran-gian-di-ma-ngon.html,1
gói,bột gia vị ướng gà/vịt,http://www.amthuc365.vn/cong-thuc/3478-nom-ga-ran-gian-di-ma-ngon.html,1
ml,dầu,http://www.amthuc365.vn/cong-thuc/3478-nom-ga-ran-gian-di-ma-ngon.html,10
,Hành lá,http://www.amthuc365.vn/cong-thuc/3478-nom-ga-ran-gian-di-ma-ngon.html,
,Mùi,http://www.amthuc365.vn/cong-thuc/3478-nom-ga-ran-gian-di-ma-ngon.html,
quả,chanh,http://www.amthuc365.vn/cong-thuc/3478-nom-ga-ran-gian-di-ma-ngon.html,1-2
quả,ớt,http://www.amthuc365.vn/cong-thuc/3478-nom-ga-ran-gian-di-ma-ngon.html,1
,Muối,http://www.amthuc365.vn/cong-thuc/3478-nom-ga-ran-gian-di-ma-ngon.html,
,Hạt tiêu,http://www.amthuc365.vn/cong-thuc/3478-nom-ga-ran-gian-di-ma-ngon.html,
,Đường,http://www.amthuc365.vn/cong-thuc/3478-nom-ga-ran-gian-di-ma-ngon.html,
lát,cá ba sa,http://www.amthuc365.vn/cong-thuc/3395-ca-ba-sa-kho-gung-de-lam.html,2
củ,gừng,http://www.amthuc365.vn/cong-thuc/3395-ca-ba-sa-kho-gung-de-lam.html,1
đủ,hành khô,http://www.amthuc365.vn/cong-thuc/3395-ca-ba-sa-kho-gung-de-lam.html,vừa
quả,ớt quả,http://www.amthuc365.vn/cong-thuc/3395-ca-ba-sa-kho-gung-de-lam.html,1 - 2
chút,ớt bột,http://www.amthuc365.vn/cong-thuc/3395-ca-ba-sa-kho-gung-de-lam.html,1
